# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu/cycles/Pu'
# Event count (approx.): 3396123161
#
# Children      Self  Shared Object         Symbol                       IPC   [IPC Coverage]
# ........  ........  ....................  ...........................  ....................
#
    67.62%    67.62%  server                [.] worker_thread            -      -            
     9.29%     9.29%  [unknown]             [k] 0xffffffff9e2001c8       -      -            
     7.37%     7.37%  server                [.] reset_connection.isra.0  -      -            
     4.69%     4.69%  libc.so.6             [.] 0x0000000000175a09       -      -            
     4.13%     4.13%  libc.so.6             [.] 0x0000000000175a0d       -      -            
     1.94%     1.94%  server                [.] hello_world_handler      -      -            
     1.33%     1.33%  libc.so.6             [.] 0x0000000000175a00       -      -            
     0.91%     0.91%  libc.so.6             [.] 0x0000000000175a24       -      -            
     0.47%     0.47%  libc.so.6             [.] 0x0000000000175a04       -      -            
     0.33%     0.33%  [unknown]             [k] 0xffffffff9e201988       -      -            
     0.31%     0.31%  libc.so.6             [.] 0x0000000000175a40       -      -            
     0.20%     0.20%  libc.so.6             [.] 0x0000000000175a44       -      -            
     0.16%     0.16%  libc.so.6             [.] 0x0000000000175a39       -      -            
     0.15%     0.15%  libc.so.6             [.] 0x0000000000175a36       -      -            
     0.13%     0.13%  libc.so.6             [.] 0x0000000000175a32       -      -            
     0.13%     0.13%  libc.so.6             [.] 0x0000000000175a3c       -      -            
     0.12%     0.12%  libc.so.6             [.] 0x0000000000175a4b       -      -            
     0.12%     0.12%  libc.so.6             [.] 0x0000000000175a19       -      -            
     0.12%     0.12%  libc.so.6             [.] 0x0000000000175a12       -      -            
     0.10%     0.00%  server                [.] _start                   -      -            
     0.10%     0.00%  libc.so.6             [.] __libc_start_main_impl (inlined)  -      -            
     0.10%     0.00%  libc.so.6             [.] 0x00007f2822427780       -      -            
     0.10%     0.00%  server                [.] main                     -      -            
     0.10%     0.00%  server                [.] pulsar_run (inlined)     -      -            
     0.08%     0.08%  libc.so.6             [.] 0x0000000000175a28       -      -            
     0.08%     0.08%  libc.so.6             [.] 0x0000000000175a4e       -      -            
     0.07%     0.07%  libc.so.6             [.] 0x00000000000a65cd       -      -            
     0.05%     0.05%  libc.so.6             [.] 0x0000000000094fd3       -      -            
     0.05%     0.00%  libc.so.6             [.] __pthread_create_2_1 (inlined)  -      -            
     0.05%     0.00%  libc.so.6             [.] allocate_stack (inlined)  -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f2822494fd3       -      -            
     0.05%     0.05%  ld-linux-x86-64.so.2  [.] 0x0000000000016e6a       -      -            
     0.05%     0.05%  libc.so.6             [.] 0x00000000000a61bb       -      -            
     0.05%     0.00%  server                [.] create_server_socket (inlined)  -      -            
     0.05%     0.00%  libc.so.6             [.] getaddrinfo              -      -            
     0.05%     0.00%  libc.so.6             [.] gaih_inet (inlined)      -      -            
     0.05%     0.00%  libc.so.6             [.] get_nss_addresses (inlined)  -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f2822549634       -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f2822549208       -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f28225720a3       -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f2822571ebb       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] 0x00007f282281c5c8       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] _dl_catch_exception      -      -            
     0.05%     0.00%  libc.so.6             [.] 0x00007f2822571f54       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] 0x00007f2822827ae9       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] 0x00007f2822827582       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] 0x00007f2822828075       -      -            
     0.05%     0.00%  ld-linux-x86-64.so.2  [.] 0x00007f2822830e6a       -      -            
     0.03%     0.03%  libc.so.6             [.] 0x00000000000a828d       -      -            
     0.03%     0.03%  libc.so.6             [.] 0x0000000000175a30       -      -            
     0.02%     0.02%  [unknown]             [.] 0000000000000000         -      -            
     0.01%     0.01%  libc.so.6             [.] 0x0000000000175a14       -      -            
     0.01%     0.01%  libc.so.6             [.] 0x00000000000a0952       -      -            


#
# (Tip: To adjust path to source files to local file system use perf report --prefix=... --prefix-strip=...)
#
